id,y,z,x,location
143415,-1140.701477336,-1546.287306055,-3018.752578606,barrel
143416,-1144.663665796,-1553.62,-3017.261316466,barrel
143417,-1140.701477336,-1560.952693945,-3018.752578606,barrel
143418,-1132.777100415,-1560.952693945,-3021.735102886,barrel
143419,-1136.266903437,-1553.62,-3018.988742742,barrel
143501,-1868.878246065,-1553.62,-2635.666241622,barrel
143502,-1870.632127955,-1545.567342044,-2634.409427634,barrel
143503,-1875.423822387,-1539.672387284,-2630.975747962,barrel
143504,-1881.969398709,-1537.514684087,-2626.285254302,barrel
143505,-1888.514975031,-1539.672387284,-2621.594760642,barrel
143506,-1893.306669464,-1545.567342044,-2618.16108097,barrel
143507,-1895.060551353,-1553.62,-2616.904266982,barrel
143508,-1893.306669464,-1561.672657956,-2618.16108097,barrel
143509,-1888.514975031,-1567.567612716,-2621.594760642,barrel
143510,-1881.969398709,-1569.725315913,-2626.285254302,barrel
143511,-1875.423822387,-1567.567612716,-2630.975747962,barrel
143512,-1870.632127955,-1561.672657956,-2634.409427634,barrel
143513,-1872.820037483,-1553.62,-2628.053627086,barrel
143514,-1876.261250602,-1546.287306055,-2625.587688638,barrel
143515,-1883.14367684,-1546.287306055,-2620.655811741,barrel
143516,-1886.584889959,-1553.62,-2618.189873293,barrel
143517,-1883.14367684,-1560.952693945,-2620.655811741,barrel
143518,-1876.261250602,-1560.952693945,-2625.587688638,barrel
143519,-1878.921331159,-1553.62,-2622.031680962,barrel
143601,-2487.35838393,-1553.62,-2062.156809202,barrel
143602,-2488.727216347,-1545.567342044,-2060.488882076,barrel
143603,-2492.466936057,-1539.672387284,-2055.932020424,barrel
143604,-2497.575488185,-1537.514684087,-2049.707231647,barrel
143605,-2502.684040312,-1539.672387284,-2043.482442869,barrel
143606,-2506.423760022,-1545.567342044,-2038.925581217,barrel
143607,-2507.792592439,-1553.62,-2037.257654091,barrel
143608,-2506.423760022,-1561.672657956,-2038.925581217,barrel
143609,-2502.684040312,-1567.567612716,-2043.482442869,barrel
143610,-2497.575488185,-1569.725315913,-2049.707231647,barrel
143611,-2492.466936057,-1567.567612716,-2055.932020424,barrel
143612,-2488.727216347,-1561.672657956,-2060.488882076,barrel
143613,-2489.195572437,-1553.62,-2053.783377525,barrel
143614,-2491.881297228,-1546.287306055,-2050.510812398,barrel
143615,-2497.25274681,-1546.287306055,-2043.965682145,barrel
143616,-2499.938471601,-1553.62,-2040.693117018,barrel
143617,-2497.25274681,-1560.952693945,-2043.965682145,barrel
143618,-2491.881297228,-1560.952693945,-2050.510812398,barrel
143619,-2493.530375227,-1553.62,-2046.387493236,barrel
143701,-717.992556383,-1836.356,-3150.226837043,barrel
143702,-720.093893854,-1828.303342044,-3149.736873864,barrel
